player_id,year,stint,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,obp,slg,ops
murphda05,1990,2,PHI,NL,57,214,22,57,9,1,7,28,0,1,20,46,3,0,0,1,11,0.328,0.416,0.744
murraed02,1990,1,LAN,NL,155,558,96,184,22,3,26,95,8,5,82,64,21,1,0,4,19,0.414,0.52,0.934
myersgr01,1990,1,TOR,AL,87,250,33,59,7,1,5,22,0,1,22,33,0,0,1,4,12,0.293,0.332,0.625
newmaal01,1990,1,MIN,AL,144,388,43,94,14,0,0,30,13,6,33,34,0,2,8,2,7,0.304,0.278,0.582
nixonot01,1990,1,MON,NL,119,231,46,58,6,2,1,20,50,13,28,33,0,0,3,1,2,0.331,0.307,0.638
nokesma01,1990,2,NYA,AL,92,240,21,57,4,0,8,32,2,2,20,33,3,4,0,0,6,0.307,0.354,0.661
obriepe03,1990,1,SEA,AL,108,366,32,82,18,0,5,27,0,0,44,33,1,2,1,4,12,0.308,0.314,0.622
olerujo01,1990,1,TOR,AL,111,358,43,95,15,1,14,48,0,2,57,75,6,1,1,4,5,0.364,0.43,0.794
olivejo01,1990,1,CIN,NL,121,364,34,84,23,0,8,52,1,1,37,75,15,2,5,1,6,0.304,0.36,0.664
olsongr02,1990,1,ATL,NL,100,298,36,78,12,1,7,36,1,1,30,51,4,2,1,1,8,0.332,0.379,0.712
oneilpa01,1990,1,CIN,NL,145,503,59,136,28,0,16,78,13,11,53,103,13,2,1,5,12,0.339,0.421,0.761
oquenjo01,1990,1,SLN,NL,156,469,38,118,17,5,1,37,1,1,74,46,8,0,5,5,7,0.35,0.316,0.666
orsuljo01,1990,1,BAL,AL,124,413,49,111,14,3,11,57,6,8,46,48,9,1,4,1,7,0.343,0.397,0.74
owensp01,1990,1,MON,NL,149,453,55,106,24,5,5,35,8,6,70,60,12,0,5,5,6,0.333,0.342,0.675
paglimi01,1990,1,SDN,NL,128,398,29,101,23,2,7,38,1,3,39,66,3,3,2,4,12,0.322,0.374,0.696
pagnoto01,1990,1,SLN,NL,69,220,20,61,15,0,2,23,1,1,14,37,1,1,0,2,0,0.321,0.373,0.693
palmera01,1990,1,TEX,AL,154,598,72,191,35,6,14,89,3,3,40,59,6,3,2,8,24,0.361,0.468,0.829
parkeda01,1990,1,ML4,AL,157,610,71,176,30,3,21,92,4,7,41,102,11,4,0,14,18,0.33,0.451,0.781
parrila02,1990,1,CAL,AL,133,470,54,126,14,0,24,70,2,2,46,107,4,5,0,2,12,0.338,0.451,0.789
pasquda01,1990,1,CHA,AL,112,325,43,89,27,3,13,58,1,1,37,66,7,2,0,5,4,0.347,0.495,0.842
pecotbi01,1990,1,KCA,AL,87,240,43,58,15,2,5,20,8,5,33,39,0,1,6,0,5,0.336,0.383,0.719
penato01,1990,1,BOS,AL,143,491,62,129,19,1,7,56,8,6,43,71,3,1,2,3,23,0.322,0.348,0.67
pendlte01,1990,1,SLN,NL,121,447,46,103,20,2,6,58,7,5,30,58,8,1,0,6,12,0.277,0.324,0.601
perryge01,1990,1,KCA,AL,133,465,57,118,22,2,8,57,17,4,39,56,4,3,0,5,14,0.313,0.361,0.674
petrage01,1990,1,TEX,AL,133,325,28,83,13,1,0,21,0,2,50,49,3,3,1,3,12,0.357,0.302,0.658
pettiga01,1990,1,TEX,AL,136,423,66,101,16,8,3,31,38,15,57,118,0,4,11,3,6,0.333,0.336,0.668
phillto02,1990,1,DET,AL,152,573,97,144,23,5,8,55,19,9,99,85,0,4,9,2,10,0.364,0.351,0.715
polonlu01,1990,2,CAL,AL,109,381,50,128,7,9,2,32,20,14,25,42,1,1,3,3,8,0.376,0.417,0.793
preslji01,1990,1,ATL,NL,140,541,59,131,34,1,19,72,1,1,29,130,0,3,0,4,10,0.282,0.414,0.697
puckeki01,1990,1,MIN,AL,146,551,82,164,40,3,12,80,5,4,57,73,11,3,1,3,15,0.365,0.446,0.811
quintca01,1990,1,BOS,AL,149,512,56,147,28,0,7,67,1,2,52,74,0,2,4,2,19,0.354,0.383,0.737
raineti01,1990,1,MON,NL,130,457,65,131,11,5,9,62,49,16,70,43,8,3,0,8,9,0.379,0.392,0.771
ramirra01,1990,1,HOU,NL,132,445,44,116,19,3,2,37,10,5,24,46,9,1,9,1,9,0.299,0.33,0.63
ramosdo01,1990,1,CHN,NL,98,226,22,60,5,0,2,17,0,2,27,29,1,1,2,3,7,0.342,0.314,0.657
randowi01,1990,2,OAK,AL,93,292,37,75,9,3,1,21,6,1,32,25,1,1,7,1,11,0.331,0.318,0.65
rayjo01,1990,1,CAL,AL,105,404,47,112,23,0,5,43,2,3,19,44,2,0,3,3,10,0.308,0.371,0.679
readyra01,1990,1,PHI,NL,101,217,26,53,9,1,1,26,3,2,29,35,0,1,3,3,3,0.332,0.309,0.641
redusga01,1990,1,PIT,NL,96,227,32,56,15,3,6,23,11,5,33,38,0,2,1,5,1,0.341,0.419,0.759
reedjo01,1990,1,BOS,AL,155,598,70,173,45,0,5,51,4,4,75,65,4,4,11,3,19,0.371,0.39,0.76
reynoha01,1990,1,SEA,AL,160,642,100,162,36,5,5,55,31,16,81,52,3,3,5,6,9,0.336,0.347,0.683
reynorj01,1990,1,PIT,NL,95,215,25,62,10,1,0,19,12,2,23,35,1,0,0,2,12,0.354,0.344,0.698
ripkebi01,1990,1,BAL,AL,129,406,48,118,28,1,3,38,5,2,28,43,2,4,17,1,7,0.342,0.387,0.728
ripkeca01,1990,1,BAL,AL,161,600,78,150,28,4,21,84,3,1,82,66,18,5,1,7,12,0.341,0.415,0.756
