manager_id,year,team_id
hargrmi01,1999,CLE
parrila01,1999,DET
muserto01,1999,KCA
kellyto01,1999,MIN
torrejo01,1999,NYA
howear01,1999,OAK
pinielo01,1999,SEA
rothsla01,1999,TBA
oatesjo01,1999,TEX
fregoji01,1999,TOR
showabu99,1999,ARI
coxbo01,1999,ATL
rigglji99,1999,CHN
mckeoja99,1999,CIN
leylaji99,1999,COL
bolesjo99,1999,FLO
dierkla01,1999,HOU
galanma99,1999,HOU
dierkla01,1999,HOU
johnsda02,1999,LAN
garneph01,1999,MIL
lefebji01,1999,MIL
aloufe01,1999,MON
valenbo02,1999,NYN
francte01,1999,PHI
lamonge01,1999,PIT
bochybr01,1999,SDN
bakerdu01,1999,SFN
larusto01,1999,SLN
sciosmi01,2000,ANA
hargrmi01,2000,BAL
williji03,2000,BOS
manueje01,2000,CHA
manuech01,2000,CLE
garneph01,2000,DET
muserto01,2000,KCA
kellyto01,2000,MIN
torrejo01,2000,NYA
howear01,2000,OAK
pinielo01,2000,SEA
rothsla01,2000,TBA
oatesjo01,2000,TEX
fregoji01,2000,TOR
showabu99,2000,ARI
coxbo01,2000,ATL
baylodo01,2000,CHN
mckeoja99,2000,CIN
bellbu01,2000,COL
bolesjo99,2000,FLO
dierkla01,2000,HOU
johnsda02,2000,LAN
lopesda01,2000,MIL
aloufe01,2000,MON
valenbo02,2000,NYN
francte01,2000,PHI
lamonge01,2000,PIT
bochybr01,2000,SDN
bakerdu01,2000,SFN
larusto01,2000,SLN
sciosmi01,2001,ANA
hargrmi01,2001,BAL
williji03,2001,BOS
kerrijo01,2001,BOS
manueje01,2001,CHA
manuech01,2001,CLE
garneph01,2001,DET
muserto01,2001,KCA
kellyto01,2001,MIN
torrejo01,2001,NYA
howear01,2001,OAK
pinielo01,2001,SEA
rothsla01,2001,TBA
mcraeha01,2001,TBA
oatesjo01,2001,TEX
narroje01,2001,TEX
martibu01,2001,TOR
brenlbo01,2001,ARI
coxbo01,2001,ATL
baylodo01,2001,CHN
boonebo01,2001,CIN
bellbu01,2001,COL
bolesjo99,2001,FLO
perezto01,2001,FLO
dierkla01,2001,HOU
tracyji01,2001,LAN
lopesda01,2001,MIL
aloufe01,2001,MON
torboje01,2001,MON
valenbo02,2001,NYN
bowala01,2001,PHI
mcclell01,2001,PIT
bochybr01,2001,SDN
bakerdu01,2001,SFN
larusto01,2001,SLN
sciosmi01,2002,ANA
hargrmi01,2002,BAL
littlgr99,2002,BOS
manueje01,2002,CHA
manuech01,2002,CLE
skinnjo01,2002,CLE
garneph01,2002,DET
pujollu01,2002,DET
muserto01,2002,KCA
mizerjo01,2002,KCA
penato01,2002,KCA
gardero01,2002,MIN
torrejo01,2002,NYA
howear01,2002,OAK
pinielo01,2002,SEA
mcraeha01,2002,TBA
narroje01,2002,TEX
martibu01,2002,TOR
toscaca99,2002,TOR
brenlbo01,2002,ARI
coxbo01,2002,ATL
baylodo01,2002,CHN
lachere01,2002,CHN
kimmbr01,2002,CHN
boonebo01,2002,CIN
bellbu01,2002,COL
hurdlcl01,2002,COL
torboje01,2002,FLO
williji03,2002,HOU
tracyji01,2002,LAN
lopesda01,2002,MIL
roystje01,2002,MIL
robinfr02,2002,MON
valenbo02,2002,NYN
bowala01,2002,PHI
mcclell01,2002,PIT
bochybr01,2002,SDN
bakerdu01,2002,SFN
larusto01,2002,SLN
sciosmi01,2003,ANA
hargrmi01,2003,BAL
littlgr99,2003,BOS
manueje01,2003,CHA
wedgeer01,2003,CLE
trammal01,2003,DET
penato01,2003,KCA
gardero01,2003,MIN
torrejo01,2003,NYA
machake01,2003,OAK
melvibo01,2003,SEA
pinielo01,2003,TBA
showabu99,2003,TEX
toscaca99,2003,TOR
brenlbo01,2003,ARI
coxbo01,2003,ATL
bakerdu01,2003,CHN
boonebo01,2003,CIN
knighra01,2003,CIN
mileyda99,2003,CIN
hurdlcl01,2003,COL
torboje01,2003,FLO
mckeoja99,2003,FLO
williji03,2003,HOU
tracyji01,2003,LAN
yostne01,2003,MIL
robinfr02,2003,MON
howear01,2003,NYN
bowala01,2003,PHI
mcclell01,2003,PIT
bochybr01,2003,SDN
aloufe01,2003,SFN
larusto01,2003,SLN
sciosmi01,2004,ANA
mazzile01,2004,BAL
francte01,2004,BOS
guilloz01,2004,CHA
wedgeer01,2004,CLE
trammal01,2004,DET
penato01,2004,KCA
